Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;Precipitation__1;MaxTemp__1;MinTemp__1;Insolation__1;Precipitation__2;MaxTemp__2;MinTemp__2;Insolation__2
29247.0;0.0;32.2;17.6;10.7;5.0;24.08;70.0;2.366667;0.0;29.0;16.6;12.3;9.1;25.4;12.8;11.1
29248.0;0.0;27.5;22.2;4.3;6.0;23.5;74.75;3.466667;0.0;32.2;17.6;10.7;0.0;29.0;16.6;12.3
29249.0;0.0;29.8;18.5;12.5;4.6;23.66;65.25;4.0;0.0;27.5;22.2;4.3;0.0;32.2;17.6;10.7
29250.0;0.0;32.6;19.4;9.1;10.0;26.1;68.75;2.066667;0.0;29.8;18.5;12.5;0.0;27.5;22.2;4.3
29256.0;0.0;32.2;21.9;3.3;6.8;25.06;78.5;0.6;0.0;30.5;18.6;10.6;0.0;30.0;20.4;12.4
29257.0;6.3;30.9;22.6;9.9;4.1;25.96;70.0;5.133333;0.0;32.2;21.9;3.3;0.0;30.5;18.6;10.6
29258.0;0.0;29.1;19.8;9.5;4.8;24.26;74.0;2.9;6.3;30.9;22.6;9.9;0.0;32.2;21.9;3.3
29259.0;0.0;30.6;19.6;11.2;4.8;24.36;64.75;1.966667;0.0;29.1;19.8;9.5;6.3;30.9;22.6;9.9
29260.0;0.0;34.0;21.9;11.7;7.3;26.9;66.75;2.666667;0.0;30.6;19.6;11.2;0.0;29.1;19.8;9.5
29264.0;0.0;29.6;20.8;9.5;4.1;25.44;78.25;4.066667;0.0;31.9;18.8;12.1;12.2;26.4;20.8;4.5
29265.0;0.0;30.6;21.8;12.1;5.1;25.16;69.5;5.4;0.0;29.6;20.8;9.5;0.0;31.9;18.8;12.1
29266.0;0.0;31.8;20.7;11.8;8.2;25.8;72.5;2.633333;0.0;30.6;21.8;12.1;0.0;29.6;20.8;9.5
29267.0;0.0;34.3;21.4;8.3;6.1;25.36;75.25;3.3;0.0;31.8;20.7;11.8;0.0;30.6;21.8;12.1
29268.0;42.2;25.0;21.0;0.0;4.7;22.66;81.75;2.8;0.0;34.3;21.4;8.3;0.0;31.8;20.7;11.8
29269.0;1.8;24.7;18.2;10.1;4.6;21.12;65.25;4.133333;42.2;25.0;21.0;0.0;0.0;34.3;21.4;8.3
29274.0;0.0;28.2;20.7;8.0;3.5;23.88;82.25;4.866667;2.4;28.0;20.8;7.3;2.5;25.5;20.4;5.4
29275.0;1.5;31.1;21.0;6.4;3.5;23.52;85.25;2.133333;0.0;28.2;20.7;8.0;2.4;28.0;20.8;7.3
29276.0;17.5;27.8;20.5;1.6;3.5;24.0;82.75;0.533333;1.5;31.1;21.0;6.4;0.0;28.2;20.7;8.0
29277.0;0.6;29.7;21.6;9.7;1.7;25.74;74.25;2.166667;17.5;27.8;20.5;1.6;1.5;31.1;21.0;6.4
29278.0;0.0;30.4;22.6;7.7;4.0;25.64;79.25;1.466667;0.6;29.7;21.6;9.7;17.5;27.8;20.5;1.6
29279.0;0.0;32.2;21.1;9.4;3.8;25.8;74.25;2.133333;0.0;30.4;22.6;7.7;0.6;29.7;21.6;9.7
29280.0;0.0;33.2;23.3;5.3;6.5;27.68;73.25;2.433333;0.0;32.2;21.1;9.4;0.0;30.4;22.6;7.7
29287.0;0.0;29.0;22.5;6.2;3.6;24.94;83.5;2.0;0.0;30.7;23.6;6.2;0.0;33.8;21.8;10.0
29291.0;0.0;27.9;23.5;0.2;5.0;25.2;85.75;2.2;0.0;32.8;21.2;8.7;0.0;30.9;21.2;9.7
29292.0;6.8;25.5;23.1;0.0;3.0;23.8;90.0;1.333333;0.0;27.9;23.5;0.2;0.0;32.8;21.2;8.7
29293.0;4.6;27.0;21.5;8.2;1.7;23.38;76.75;3.2;6.8;25.5;23.1;0.0;0.0;27.9;23.5;0.2
29294.0;0.0;27.0;18.6;10.5;5.3;22.38;73.25;3.233333;4.6;27.0;21.5;8.2;6.8;25.5;23.1;0.0
29295.0;0.0;28.0;20.2;10.6;7.3;23.68;72.75;4.7;0.0;27.0;18.6;10.5;4.6;27.0;21.5;8.2
29296.0;0.0;28.7;20.6;10.3;7.2;24.24;73.5;3.7;0.0;28.0;20.2;10.6;0.0;27.0;18.6;10.5
29300.0;0.0;32.8;22.6;8.6;3.7;26.2;78.0;1.7;0.0;32.3;22.2;8.4;0.8;31.8;23.5;7.9
29301.0;0.0;33.9;21.6;10.0;5.0;26.96;72.75;2.466667;0.0;32.8;22.6;8.6;0.0;32.3;22.2;8.4
29302.0;0.0;36.2;22.2;10.1;5.4;28.78;65.0;1.566667;0.0;33.9;21.6;10.0;0.0;32.8;22.6;8.6
29303.0;0.0;35.6;24.8;10.0;6.1;29.5;66.25;1.6;0.0;36.2;22.2;10.1;0.0;33.9;21.6;10.0
29304.0;0.0;35.8;24.6;8.9;6.0;29.52;63.75;1.766667;0.0;35.6;24.8;10.0;0.0;36.2;22.2;10.1
29305.0;0.0;31.5;22.9;3.6;6.5;25.64;79.5;2.6;0.0;35.8;24.6;8.9;0.0;35.6;24.8;10.0
29306.0;4.7;27.8;22.5;2.3;4.0;24.9;83.0;1.366667;0.0;31.5;22.9;3.6;0.0;35.8;24.6;8.9
29307.0;0.0;29.6;23.2;0.5;2.2;25.38;79.5;2.1;4.7;27.8;22.5;2.3;0.0;31.5;22.9;3.6
29308.0;1.4;29.2;23.0;0.1;3.8;25.54;75.25;1.6;0.0;29.6;23.2;0.5;4.7;27.8;22.5;2.3
29309.0;0.0;26.2;21.6;0.5;3.0;23.76;86.5;5.466667;1.4;29.2;23.0;0.1;0.0;29.6;23.2;0.5
29310.0;9.4;24.3;19.3;2.2;3.5;20.8;69.5;2.633333;0.0;26.2;21.6;0.5;1.4;29.2;23.0;0.1
29311.0;0.0;26.2;16.6;8.9;5.8;21.0;65.5;4.333333;9.4;24.3;19.3;2.2;0.0;26.2;21.6;0.5
29312.0;0.0;26.6;17.4;9.5;8.0;21.44;72.25;3.133333;0.0;26.2;16.6;8.9;9.4;24.3;19.3;2.2
29313.0;0.0;27.2;17.5;8.2;6.5;21.84;72.0;3.466667;0.0;26.6;17.4;9.5;0.0;26.2;16.6;8.9
29314.0;0.0;28.6;17.4;9.8;6.5;22.16;73.75;2.0;0.0;27.2;17.5;8.2;0.0;26.6;17.4;9.5
29315.0;0.0;28.5;17.8;9.2;7.0;22.62;79.0;2.1;0.0;28.6;17.4;9.8;0.0;27.2;17.5;8.2
29316.0;0.0;27.8;20.6;8.4;4.6;23.2;76.75;2.2;0.0;28.5;17.8;9.2;0.0;28.6;17.4;9.8
29317.0;0.0;27.0;18.3;8.8;2.7;22.2;76.75;2.366667;0.0;27.8;20.6;8.4;0.0;28.5;17.8;9.2
29318.0;0.0;27.3;18.8;6.5;3.7;22.84;72.5;3.8;0.0;27.0;18.3;8.8;0.0;27.8;20.6;8.4
29319.0;0.0;29.1;20.3;5.3;6.4;24.46;68.0;3.6;0.0;27.3;18.8;6.5;0.0;27.0;18.3;8.8
29320.0;0.0;30.8;21.5;9.7;5.6;25.72;62.5;2.333333;0.0;29.1;20.3;5.3;0.0;27.3;18.8;6.5
29327.0;0.0;20.9;8.2;9.7;2.8;14.16;67.25;2.1;1.1;18.0;9.8;9.3;0.0;18.0;13.2;0.0
29332.0;0.0;30.5;21.0;6.7;2.6;23.88;82.25;0.766667;0.2;27.4;19.8;3.7;0.0;24.0;20.5;0.0
29333.0;0.0;31.6;20.3;9.4;2.8;25.18;62.5;1.533333;0.0;30.5;21.0;6.7;0.2;27.4;19.8;3.7
29334.0;0.0;32.4;19.8;9.3;4.3;25.42;71.75;2.266667;0.0;31.6;20.3;9.4;0.0;30.5;21.0;6.7
29335.0;0.0;31.4;20.0;9.0;4.9;25.14;68.75;1.866667;0.0;32.4;19.8;9.3;0.0;31.6;20.3;9.4
29341.0;0.0;26.8;18.1;0.4;4.5;20.82;76.25;3.333333;0.0;31.0;17.5;8.8;0.0;30.2;18.8;8.6
29345.0;0.0;17.6;9.6;7.2;2.7;13.38;69.75;3.033333;1.6;17.6;12.4;8.0;38.8;18.4;12.8;2.4
29346.0;0.0;20.0;10.3;6.8;2.7;13.66;78.75;1.266667;0.0;17.6;9.6;7.2;1.6;17.6;12.4;8.0
29347.0;0.0;22.8;10.4;7.2;18.9;15.22;77.25;0.7;0.0;20.0;10.3;6.8;0.0;17.6;9.6;7.2
29353.0;0.0;28.4;15.6;9.0;3.5;21.2;79.5;1.9;0.0;26.4;15.7;7.8;12.2;24.7;17.2;5.0
29354.0;0.0;28.6;16.0;8.5;3.5;21.6;78.75;0.266667;0.0;28.4;15.6;9.0;0.0;26.4;15.7;7.8
29355.0;0.0;28.8;17.4;8.0;2.7;22.38;72.75;0.933333;0.0;28.6;16.0;8.5;0.0;28.4;15.6;9.0
29356.0;0.0;28.2;19.2;6.4;2.9;22.88;78.75;0.833333;0.0;28.8;17.4;8.0;0.0;28.6;16.0;8.5
29360.0;8.4;24.8;18.1;3.2;1.4;20.66;86.5;0.766667;0.0;24.8;17.8;3.6;0.2;22.0;17.0;0.3
29361.0;0.1;26.4;17.7;4.5;1.6;21.4;82.25;1.366667;8.4;24.8;18.1;3.2;0.0;24.8;17.8;3.6
29365.0;0.0;23.9;13.7;7.7;2.6;17.86;83.25;1.1;0.1;21.3;12.9;7.9;5.5;20.3;17.0;0.4
29366.0;0.0;21.1;14.2;5.2;1.8;16.74;86.75;1.933333;0.0;23.9;13.7;7.7;0.1;21.3;12.9;7.9
29367.0;0.0;25.0;14.1;8.0;1.9;18.54;78.5;0.0;0.0;21.1;14.2;5.2;0.0;23.9;13.7;7.7
29368.0;0.0;26.2;13.4;8.5;2.7;20.02;69.75;1.666667;0.0;25.0;14.1;8.0;0.0;21.1;14.2;5.2
29388.0;0.0;21.2;7.0;8.4;1.9;12.46;80.5;0.433333;0.0;17.2;5.4;8.3;0.0;14.4;10.3;7.5
29394.0;0.0;18.3;9.6;7.4;4.0;13.34;77.75;2.866667;0.1;18.2;12.1;4.3;5.0;17.4;12.0;0.0
29395.0;0.0;20.4;8.1;7.2;3.8;13.94;71.0;2.2;0.0;18.3;9.6;7.4;0.1;18.2;12.1;4.3
29431.0;59.6;17.4;9.7;0.0;1.5;12.3;86.75;5.3;0.0;18.9;9.2;2.6;8.6;19.3;11.8;9.5
29440.0;0.0;22.8;15.4;8.0;2.8;17.58;69.75;1.933333;6.6;19.3;15.3;2.8;0.0;22.0;15.5;2.2
29441.0;0.0;18.9;13.7;8.1;3.9;15.0;75.75;2.0;0.0;22.8;15.4;8.0;6.6;19.3;15.3;2.8
29442.0;0.0;19.6;8.5;7.2;2.9;13.66;83.25;2.466667;0.0;18.9;13.7;8.1;0.0;22.8;15.4;8.0
29447.0;0.0;20.8;10.5;8.4;2.3;14.92;81.0;2.966667;0.0;22.6;9.2;6.2;0.0;16.3;2.3;8.5
29448.0;0.0;26.1;12.1;6.9;2.3;17.88;80.5;0.5;0.0;20.8;10.5;8.4;0.0;22.6;9.2;6.2
29453.0;0.7;17.7;14.4;0.0;0.7;15.72;89.25;3.633333;4.6;17.2;13.9;0.0;0.2;19.4;12.0;2.3
29460.0;0.0;13.9;6.2;4.9;4.4;9.78;71.5;2.6;0.0;13.5;8.2;3.3;0.0;18.2;8.5;8.1
29464.0;3.0;22.0;17.8;0.0;4.0;19.92;88.75;2.633333;0.0;26.2;12.4;5.7;0.0;24.2;8.7;8.9
29465.0;14.8;20.4;14.2;0.0;1.0;15.68;89.75;2.133333;3.0;22.0;17.8;0.0;0.0;26.2;12.4;5.7
29471.0;0.0;27.8;7.6;9.4;5.1;16.56;64.0;1.1;0.0;22.8;5.7;9.4;0.0;17.2;5.0;9.7
29490.0;0.0;20.0;9.3;10.7;5.1;14.58;57.0;6.533333;0.0;17.4;8.2;9.3;0.0;17.7;8.3;9.9
29491.0;0.0;20.3;11.3;0.0;9.8;15.76;62.0;3.966667;0.0;20.0;9.3;10.7;0.0;17.4;8.2;9.3
29496.0;0.0;31.2;18.4;6.0;5.1;23.8;65.0;1.633333;0.0;31.8;15.2;5.5;0.6;28.1;16.2;10.2
29497.0;0.0;25.6;19.6;1.8;5.4;21.7;83.25;2.366667;0.0;31.2;18.4;6.0;0.0;31.8;15.2;5.5
29504.0;0.0;22.8;15.5;10.5;2.5;18.4;76.25;4.4;11.3;23.1;12.2;8.1;0.1;15.8;14.3;0.0
29505.0;0.0;22.8;16.7;0.6;5.7;18.4;78.5;6.9;0.0;22.8;15.5;10.5;11.3;23.1;12.2;8.1
29506.0;0.0;22.2;16.1;4.2;5.2;17.82;71.25;5.4;0.0;22.8;16.7;0.6;0.0;22.8;15.5;10.5
29507.0;0.0;23.3;15.3;8.8;6.8;18.48;71.75;3.4;0.0;22.2;16.1;4.2;0.0;22.8;16.7;0.6
29508.0;0.0;24.8;15.0;11.1;5.6;18.94;71.75;4.633333;0.0;23.3;15.3;8.8;0.0;22.2;16.1;4.2
29509.0;0.0;26.9;16.0;11.3;6.4;20.04;70.5;2.8;0.0;24.8;15.0;11.1;0.0;23.3;15.3;8.8
29510.0;0.0;29.9;15.8;10.6;5.1;21.76;65.25;3.366667;0.0;26.9;16.0;11.3;0.0;24.8;15.0;11.1
29516.0;10.4;21.9;14.1;0.0;0.8;16.78;69.25;4.3;10.6;22.0;19.0;0.2;1.1;23.5;18.8;0.3
29517.0;0.1;16.7;10.4;5.0;4.7;13.46;62.5;3.8;10.4;21.9;14.1;0.0;10.6;22.0;19.0;0.2
29518.0;0.0;19.1;10.9;3.3;4.9;15.2;69.0;3.966667;0.1;16.7;10.4;5.0;10.4;21.9;14.1;0.0
29525.0;0.2;20.5;10.8;11.8;2.8;15.38;58.0;3.933333;9.4;24.1;16.8;0.9;0.0;28.2;18.2;3.0
29526.0;0.0;22.2;9.0;12.3;5.9;15.96;57.75;3.9;0.2;20.5;10.8;11.8;9.4;24.1;16.8;0.9
29527.0;0.0;26.6;14.5;12.0;7.5;19.66;66.75;2.4;0.0;22.2;9.0;12.3;0.2;20.5;10.8;11.8
29528.0;0.0;31.3;16.2;11.8;5.2;23.0;58.25;2.566667;0.0;26.6;14.5;12.0;0.0;22.2;9.0;12.3
29529.0;0.0;28.5;16.4;10.4;5.7;22.0;71.5;1.9;0.0;31.3;16.2;11.8;0.0;26.6;14.5;12.0
29530.0;0.0;29.8;19.1;3.2;4.8;22.66;75.75;1.6;0.0;28.5;16.4;10.4;0.0;31.3;16.2;11.8
29531.0;4.6;22.4;19.0;0.0;3.3;19.86;93.25;3.3;0.0;29.8;19.1;3.2;0.0;28.5;16.4;10.4
29532.0;18.9;25.5;18.6;5.8;0.8;21.06;85.0;2.3;4.6;22.4;19.0;0.0;0.0;29.8;19.1;3.2
29533.0;0.4;28.2;17.6;9.8;2.1;21.26;73.25;4.533333;18.9;25.5;18.6;5.8;4.6;22.4;19.0;0.0
29539.0;0.0;28.5;14.4;11.6;8.3;20.84;62.0;1.533333;0.0;24.8;12.2;12.4;1.1;22.4;12.0;11.5
29540.0;0.0;30.5;15.4;10.9;4.8;23.14;61.0;1.866667;0.0;28.5;14.4;11.6;0.0;24.8;12.2;12.4
29541.0;0.0;27.5;18.8;1.6;7.0;22.58;68.5;3.5;0.0;30.5;15.4;10.9;0.0;28.5;14.4;11.6
29542.0;0.0;23.2;16.0;11.8;5.9;19.14;57.0;4.633333;0.0;27.5;18.8;1.6;0.0;30.5;15.4;10.9
29543.0;0.0;27.0;16.8;8.8;9.6;21.16;62.5;5.9;0.0;23.2;16.0;11.8;0.0;27.5;18.8;1.6
29544.0;7.9;25.8;18.4;4.5;9.0;21.38;80.25;4.633333;0.0;27.0;16.8;8.8;0.0;23.2;16.0;11.8
29549.0;0.0;26.4;14.5;12.8;4.2;19.42;60.75;2.466667;8.4;26.4;20.0;4.8;0.0;28.2;21.5;0.0
29550.0;0.0;23.3;14.2;11.6;3.9;18.38;70.5;4.5;0.0;26.4;14.5;12.8;8.4;26.4;20.0;4.8
29551.0;0.0;27.4;13.2;11.1;5.8;20.32;74.0;5.1;0.0;23.3;14.2;11.6;0.0;26.4;14.5;12.8
29552.0;0.0;29.1;19.4;8.7;4.9;23.04;65.0;4.333333;0.0;27.4;13.2;11.1;0.0;23.3;14.2;11.6
29553.0;0.0;25.0;19.4;0.0;7.8;22.4;74.5;1.866667;0.0;29.1;19.4;8.7;0.0;27.4;13.2;11.1
29554.0;1.7;22.8;19.9;0.0;2.6;21.08;93.5;2.766667;0.0;25.0;19.4;0.0;0.0;29.1;19.4;8.7
29561.0;2.6;26.6;19.0;5.6;1.9;21.96;75.5;1.066667;16.6;23.4;19.9;2.9;7.8;22.8;20.1;0.0
29562.0;0.0;30.2;15.9;7.8;3.3;22.82;79.0;1.133333;2.6;26.6;19.0;5.6;16.6;23.4;19.9;2.9
29563.0;0.0;31.3;18.0;12.5;4.6;24.7;61.0;2.2;0.0;30.2;15.9;7.8;2.6;26.6;19.0;5.6
29564.0;0.0;35.5;20.1;11.5;6.5;27.52;71.0;2.266667;0.0;31.3;18.0;12.5;0.0;30.2;15.9;7.8
29568.0;0.0;28.8;20.6;8.4;4.0;24.24;79.0;3.566667;28.3;28.0;19.8;11.1;0.0;32.2;19.8;4.5
29569.0;14.0;28.5;17.2;11.9;5.4;22.8;66.5;3.6;0.0;28.8;20.6;8.4;28.3;28.0;19.8;11.1
29577.0;0.0;24.4;16.0;6.6;5.6;20.48;64.25;4.5;2.7;23.9;17.2;3.5;3.1;23.0;17.4;0.0
29578.0;0.0;28.2;19.0;7.5;8.3;22.9;73.0;3.3;0.0;24.4;16.0;6.6;2.7;23.9;17.2;3.5
29582.0;0.0;25.4;21.1;0.0;5.9;23.1;83.0;2.6;0.0;30.5;20.0;9.4;0.0;28.4;19.8;11.7
29583.0;12.4;28.8;21.4;7.0;3.2;24.74;74.5;3.266667;0.0;25.4;21.1;0.0;0.0;30.5;20.0;9.4
29584.0;0.0;29.3;21.3;4.0;5.4;24.56;82.25;3.833333;12.4;28.8;21.4;7.0;0.0;25.4;21.1;0.0
29585.0;1.5;28.0;21.0;8.5;3.0;23.58;79.75;4.1;0.0;29.3;21.3;4.0;12.4;28.8;21.4;7.0
29586.0;0.7;28.9;21.0;10.9;2.7;24.12;77.5;6.133333;1.5;28.0;21.0;8.5;0.0;29.3;21.3;4.0
29587.0;0.0;32.0;20.3;8.9;2.7;25.38;73.25;2.466667;0.7;28.9;21.0;10.9;1.5;28.0;21.0;8.5
29588.0;0.0;30.4;21.6;11.5;6.0;25.08;75.75;5.066667;0.0;32.0;20.3;8.9;0.7;28.9;21.0;10.9
29589.0;0.0;33.1;22.6;9.2;7.0;25.86;64.5;5.233333;0.0;30.4;21.6;11.5;0.0;32.0;20.3;8.9
29590.0;0.0;27.4;19.4;9.8;5.9;22.68;67.5;2.733333;0.0;33.1;22.6;9.2;0.0;30.4;21.6;11.5
29591.0;0.0;31.7;19.1;11.8;6.1;24.4;71.5;3.433333;0.0;27.4;19.4;9.8;0.0;33.1;22.6;9.2
29592.0;0.0;33.0;21.8;2.7;6.9;26.6;81.5;1.8;0.0;31.7;19.1;11.8;0.0;27.4;19.4;9.8
29596.0;0.0;30.9;20.3;9.3;6.2;24.9;70.75;3.8;0.0;29.8;19.6;11.5;0.0;27.5;17.0;11.8
29597.0;0.0;30.2;21.7;5.1;5.8;24.82;76.25;2.533333;0.0;30.9;20.3;9.3;0.0;29.8;19.6;11.5
29598.0;0.0;31.3;22.6;5.4;6.8;25.9;70.5;2.533333;0.0;30.2;21.7;5.1;0.0;30.9;20.3;9.3
29599.0;1.9;30.5;21.0;10.1;4.2;24.88;80.75;2.666667;0.0;31.3;22.6;5.4;0.0;30.2;21.7;5.1
29600.0;0.0;28.7;20.3;11.4;3.8;23.8;68.5;4.433333;1.9;30.5;21.0;10.1;0.0;31.3;22.6;5.4
29601.0;0.0;25.5;20.9;3.2;8.0;22.66;66.25;3.633333;0.0;28.7;20.3;11.4;1.9;30.5;21.0;10.1
29602.0;0.0;28.9;20.6;11.6;8.4;24.42;70.0;4.966667;0.0;25.5;20.9;3.2;0.0;28.7;20.3;11.4
29603.0;0.0;27.7;23.0;0.8;5.2;24.44;85.25;1.966667;0.0;28.9;20.6;11.6;0.0;25.5;20.9;3.2
29604.0;2.7;28.9;22.2;4.5;2.8;24.7;78.75;1.766667;0.0;27.7;23.0;0.8;0.0;28.9;20.6;11.6
29605.0;2.7;30.9;18.5;8.2;3.5;25.02;73.5;3.133333;2.7;28.9;22.2;4.5;0.0;27.7;23.0;0.8
29606.0;45.8;29.4;21.3;2.2;5.5;25.54;76.25;4.366667;2.7;30.9;18.5;8.2;2.7;28.9;22.2;4.5
29610.0;8.7;31.6;20.2;9.3;5.8;25.22;74.25;3.533333;0.0;30.4;17.8;11.0;0.0;25.5;15.8;11.5
29611.0;0.0;30.0;22.0;7.0;5.7;25.3;72.5;4.333333;8.7;31.6;20.2;9.3;0.0;30.4;17.8;11.0
29612.0;0.0;31.6;22.7;10.7;5.6;26.2;70.0;3.566667;0.0;30.0;22.0;7.0;8.7;31.6;20.2;9.3
29613.0;0.0;33.6;23.2;12.3;8.9;27.28;70.5;2.533333;0.0;31.6;22.7;10.7;0.0;30.0;22.0;7.0
29614.0;0.0;35.1;25.0;7.7;6.4;29.78;63.75;3.466667;0.0;33.6;23.2;12.3;0.0;31.6;22.7;10.7
29618.0;0.0;30.3;22.3;4.1;4.8;25.44;78.5;3.4;0.0;30.0;18.2;10.4;43.0;26.3;20.0;10.0
29619.0;35.3;31.4;22.6;6.5;3.0;25.72;90.0;1.466667;0.0;30.3;22.3;4.1;0.0;30.0;18.2;10.4
29630.0;12.0;31.0;21.5;7.4;5.0;26.1;79.75;1.133333;0.0;35.5;23.2;7.9;0.0;31.4;21.2;10.2
29637.0;0.0;29.8;23.0;9.4;1.6;25.28;78.0;3.4;15.6;27.0;21.6;0.0;0.0;34.4;22.0;9.7
29638.0;0.0;31.2;20.8;9.5;7.1;25.44;75.0;2.733333;0.0;29.8;23.0;9.4;15.6;27.0;21.6;0.0
29642.0;0.0;33.6;21.8;8.2;5.1;27.74;69.0;2.233333;0.0;31.8;22.0;11.5;0.0;31.2;21.7;8.7
29648.0;8.6;28.8;22.2;3.0;3.0;24.22;84.0;3.966667;0.0;32.8;18.8;10.1;3.0;27.1;19.6;10.8
29649.0;0.9;26.0;17.3;10.0;3.3;21.8;71.75;4.266667;8.6;28.8;22.2;3.0;0.0;32.8;18.8;10.1
29650.0;0.0;29.7;18.9;11.4;6.7;23.72;76.0;2.2;0.9;26.0;17.3;10.0;8.6;28.8;22.2;3.0
29651.0;0.0;30.2;22.8;9.1;4.3;25.5;77.5;3.466667;0.0;29.7;18.9;11.4;0.9;26.0;17.3;10.0
29652.0;0.0;27.1;21.0;6.6;4.4;23.94;81.0;4.066667;0.0;30.2;22.8;9.1;0.0;29.7;18.9;11.4
29653.0;1.6;26.8;20.2;5.5;3.9;22.34;77.0;3.533333;0.0;27.1;21.0;6.6;0.0;30.2;22.8;9.1
29654.0;0.4;27.5;17.1;10.7;4.6;21.88;72.75;2.3;1.6;26.8;20.2;5.5;0.0;27.1;21.0;6.6
29655.0;0.0;28.2;16.3;10.7;5.1;22.5;77.0;1.7;0.4;27.5;17.1;10.7;1.6;26.8;20.2;5.5
29659.0;0.0;34.6;21.0;7.9;6.1;25.96;77.0;2.533333;0.0;29.6;18.2;8.1;0.0;28.6;20.2;10.9
29663.0;0.0;26.1;14.4;1.1;6.3;20.22;72.75;4.366667;0.0;23.5;16.4;10.5;0.0;25.5;17.2;9.3
29664.0;0.0;28.2;15.8;8.7;6.3;21.76;76.5;2.233333;0.0;26.1;14.4;1.1;0.0;23.5;16.4;10.5
29665.0;0.0;24.1;18.2;4.3;5.4;19.8;70.0;0.733333;0.0;28.2;15.8;8.7;0.0;26.1;14.4;1.1
29666.0;0.0;23.8;13.4;10.5;3.8;18.2;69.75;2.533333;0.0;24.1;18.2;4.3;0.0;28.2;15.8;8.7
29667.0;0.0;27.6;13.0;10.5;3.2;20.1;69.75;2.5;0.0;23.8;13.4;10.5;0.0;24.1;18.2;4.3
29668.0;0.0;30.2;15.2;10.3;7.2;22.68;68.25;1.4;0.0;27.6;13.0;10.5;0.0;23.8;13.4;10.5
29669.0;0.0;27.4;17.2;9.7;4.3;22.12;81.0;2.4;0.0;30.2;15.2;10.3;0.0;27.6;13.0;10.5
29670.0;0.0;25.4;19.0;9.5;4.4;21.36;76.25;4.2;0.0;27.4;17.2;9.7;0.0;30.2;15.2;10.3
29671.0;0.0;28.8;17.2;10.2;4.6;22.44;75.5;2.1;0.0;25.4;19.0;9.5;0.0;27.4;17.2;9.7
29672.0;0.0;29.6;20.8;8.8;3.0;24.38;81.5;5.0;0.0;28.8;17.2;10.2;0.0;25.4;19.0;9.5
29673.0;0.0;27.1;21.8;3.3;6.3;23.78;76.5;5.233333;0.0;29.6;20.8;8.8;0.0;28.8;17.2;10.2
